id,first_name,last_name,email,age,country,signup_date
1,John,Doe,john.doe@example.com,28,USA,2023-01-15
2,Jane,Smith,jane.smith@example.com,34,UK,2022-11-22
3,Aliu,Mustapha,aliu.mustapha@example.com,25,Nigeria,2024-03-05
4,Aiko,Tanaka,aiko.tanaka@example.jp,30,Japan,2023-06-18
5,Carlos,Gomez,carlos.gomez@example.mx,29,Mexico,2024-05-10
6,Amira,Khan,amira.khan@example.pk,31,Pakistan,2023-09-29
7,Mary,Johnson,mary.johnson@example.com,42,Canada,2022-12-01
8,Chen,Wei,chen.wei@example.cn,27,China,2023-07-23
9,Luca,Rossi,luca.rossi@example.it,35,Italy,2024-01-12
10,Ahmed,Omar,ahmed.omar@example.eg,40,Egypt,2022-08-07
